graph,objective,route,B_factor,B,alpha,epsilon,t,n,m,K,queries,accepted_pairs,swaps,consistency_violations,support_size,f_value,time_sec,graph_mem_mb,algo_mem_mb,seed,kic_mc,decision_f_value,eval_mc
fb.bin,kic,GongD1,0.2,807,0.4,0.1,2339,4039,176468,3,541241,61905,1652,213315,635,922.2184,1759.382598388,19.99609375,16.44140625,42,100,924.26,10000
fb.bin,kic,GongD1,0.2,807,0.4,0.1,2551,4039,176468,3,566602,62844,1798,246421,743,977.757,1965.42403758,19.99609375,16.44140625,42,100,989.27,10000
fb.bin,kic,GongD1,0.2,807,0.4,0.1,2764,4039,176468,3,590436,63683,1901,278356,807,1095.4043,2163.902043309,19.99609375,16.44140625,42,100,1092.28,10000
fb.bin,kic,GongD1,0.2,807,0.4,0.1,2976,4039,176468,3,612843,64313,1972,324293,807,1261.0547,2361.258843708,19.99609375,16.44140625,42,100,1253.6,10000
fb.bin,kic,GongD1,0.2,807,0.4,0.1,3189,4039,176468,3,635592,64852,2047,372926,807,1307.9657,2566.83857257,19.99609375,16.44140625,42,100,1304.84,10000
fb.bin,kic,GongD1,0.2,807,0.4,0.1,3401,4039,176468,3,657436,65349,2118,419189,807,1382.8983,2774.710378392,19.99609375,16.44140625,42,100,1387.38,10000
fb.bin,kic,GongD1,0.2,807,0.4,0.1,3614,4039,176468,3,678630,65656,2223,490266,807,1467.2764,2998.580357034,19.99609375,16.44140625,42,100,1470.85,10000
fb.bin,kic,GongD1,0.2,807,0.4,0.1,3826,4039,176468,3,699342,65958,2245,505254,807,1533.8268,3219.806597863,19.99609375,16.44140625,42,100,1542.59,10000
fb.bin,kic,GongD1,0.2,807,0.4,0.1,4039,4039,176468,3,719278,66198,2245,505254,807,1662.0403,3432.080975505,19.99609375,16.44140625,42,100,1656.13,10000
fb.bin,kic,Pham22,0.2,807,0.4,0.1,1,4039,176468,3,3,0,0,0,0,0,0.010715713,20.0703125,16.4296875,42,100,0,10000
fb.bin,kic,Pham22,0.2,807,0.4,0.1,214,4039,176468,3,72088,14545,125,2287,75,45.5498,8.941596466,20.0703125,16.4296875,42,100,48.06,10000
fb.bin,kic,Pham22,0.2,807,0.4,0.1,426,4039,176468,3,145084,26505,261,9150,60,145.5371,54.162531433,20.0703125,16.4296875,42,100,156.31,10000
fb.bin,kic,Pham22,0.2,807,0.4,0.1,639,4039,176468,3,216107,33584,395,19301,108,168.1278,120.156209852,20.0703125,16.4296875,42,100,172.01,10000
fb.bin,kic,Pham22,0.2,807,0.4,0.1,851,4039,176468,3,285718,42316,570,31723,105,190.6857,209.446730706,20.0703125,16.4296875,42,100,193.87,10000
fb.bin,kic,Pham22,0.2,807,0.4,0.1,1064,4039,176468,3,338131,47363,750,54320,399,301.1976,300.067759731,20.0703125,16.4296875,42,100,310.57,10000
fb.bin,kic,Pham22,0.2,807,0.4,0.1,1276,4039,176468,3,379172,51609,931,80037,336,501.043,431.91747126,20.0703125,16.4296875,42,100,499.34,10000
fb.bin,kic,Pham22,0.2,807,0.4,0.1,1489,4039,176468,3,417278,54197,1082,105943,361,642.8923,646.01092344,20.0703125,16.4296875,42,100,641.06,10000
fb.bin,kic,Pham22,0.2,807,0.4,0.1,1701,4039,176468,3,454284,55313,1222,134452,413,740.5782,868.85260736,20.0703125,16.4296875,42,100,743.78,10000
fb.bin,kic,Pham22,0.2,807,0.4,0.1,1914,4039,176468,3,489836,56155,1344,164186,457,817.2624,1096.719896214,20.0703125,16.4296875,42,100,815.79,10000
fb.bin,kic,Pham22,0.2,807,0.4,0.1,2126,4039,176468,3,524119,56986,1427,176962,512,913.2291,1318.939182604,20.0703125,16.4296875,42,100,911.31,10000
fb.bin,kic,Pham22,0.2,807,0.4,0.1,2339,4039,176468,3,557419,57401,1531,210490,547,974.7233,1542.28988176,20.0703125,16.4296875,42,100,986.44,10000
fb.bin,kic,Pham22,0.2,807,0.4,0.1,2551,4039,176468,3,590024,57547,1588,222919,691,1019.7216,1763.940355944,20.0703125,16.4296875,42,100,1022.05,10000
fb.bin,kic,Pham22,0.2,807,0.4,0.1,2764,4039,176468,3,622222,58080,1684,227586,784,1162.1462,1984.272132993,20.0703125,16.4296875,42,100,1162.08,10000
fb.bin,kic,Pham22,0.2,807,0.4,0.1,2976,4039,176468,3,653769,59392,1732,243948,807,1335.2183,2214.187754621,20.0703125,16.4296875,42,100,1332.61,10000
fb.bin,kic,Pham22,0.2,807,0.4,0.1,3189,4039,176468,3,684751,59524,1791,277627,807,1364.8086,2447.38589825,20.0703125,16.4296875,42,100,1371.15,10000
fb.bin,kic,Pham22,0.2,807,0.4,0.1,3401,4039,176468,3,715499,59998,1853,289281,807,1501.3453,2687.502917018,20.0703125,16.4296875,42,100,1488.41,10000
fb.bin,kic,Pham22,0.2,807,0.4,0.1,3614,4039,176468,3,745846,60595,1906,321151,807,1591.0478,2958.956821175,20.0703125,16.4296875,42,100,1589.9,10000
fb.bin,kic,Pham22,0.2,807,0.4,0.1,3826,4039,176468,3,775169,60701,1917,328510,807,1653.3564,3223.061017223,20.0703125,16.4296875,42,100,1653.79,10000
fb.bin,kic,Pham22,0.2,807,0.4,0.1,4039,4039,176468,3,804672,61219,1972,347339,748,1784.9787,3492.258353575,20.0703125,16.4296875,42,100,1780.21,10000
